                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44879,                0.37007,                  1.009,                  0.815,                0.79452,                0.84086,                0.74195,                0.52571,                0.61131,                 1.1493,             0.00033248,             0.00033248,             0.00033248
                      2,                0.49109,                0.42009,                 1.0254,                 0.8381,                0.77378,                0.80856,                0.71555,                0.52628,                0.62501,                 1.1544,             0.00063945,             0.00063945,             0.00063945
                      3,                0.51615,                0.47178,                 1.0399,                0.80723,                0.72344,                0.79554,                0.70324,                 0.5379,                0.70328,                 1.1665,             0.00092002,             0.00092002,             0.00092002
                      4,                0.52835,                 0.4953,                  1.047,                0.79562,                0.77896,                0.81416,                0.71177,                0.53825,                0.62557,                 1.1372,              0.0008812,              0.0008812,              0.0008812
                      5,                0.53535,                0.49918,                 1.0489,                0.83069,                 0.7402,                0.79943,                0.69449,                 0.5356,                 0.6733,                 1.1526,              0.0008416,              0.0008416,              0.0008416
                      6,                0.52813,                 0.4892,                 1.0438,                0.84187,                0.75938,                0.81312,                0.70571,                0.53585,                0.62769,                 1.1558,               0.000802,               0.000802,               0.000802
                      7,                0.51873,                0.47546,                 1.0427,                 0.7825,                0.77274,                0.80384,                0.69735,                0.52931,                0.67199,                 1.1438,              0.0007624,              0.0007624,              0.0007624
                      8,                0.52075,                0.46987,                 1.0424,                0.84345,                0.75868,                0.82549,                0.72388,                0.54933,                0.62577,                 1.1609,              0.0007228,              0.0007228,              0.0007228
                      9,                0.51415,                0.46924,                 1.0431,                0.82688,                0.79488,                0.82714,                0.73395,                0.49327,                0.58085,                 1.1168,              0.0006832,              0.0006832,              0.0006832
                     10,                0.50257,                 0.4483,                 1.0341,                  0.814,                0.74719,                0.81523,                0.71383,                 0.5491,                0.62002,                 1.1486,              0.0006436,              0.0006436,              0.0006436
                     11,                0.50631,                0.43909,                 1.0333,                0.84263,                 0.7372,                0.83359,                0.73865,                0.53252,                0.61576,                  1.146,               0.000604,               0.000604,               0.000604
                     12,                0.49407,                0.43471,                 1.0296,                0.77748,                0.78038,                 0.8302,                0.74504,                0.49773,                0.59898,                 1.1201,              0.0005644,              0.0005644,              0.0005644
                     13,                0.49585,                0.42506,                  1.026,                0.83265,                0.75884,                0.82637,                0.72598,                0.49625,                0.58752,                 1.1444,              0.0005248,              0.0005248,              0.0005248
                     14,                0.48125,                0.40975,                 1.0187,                0.81494,                0.79411,                0.83529,                0.74358,                 0.4967,                0.55088,                 1.1213,              0.0004852,              0.0004852,              0.0004852
                     15,                0.47379,                0.40057,                 1.0173,                0.82951,                0.77577,                0.82727,                0.73234,                0.50644,                0.58277,                 1.1257,              0.0004456,              0.0004456,              0.0004456
                     16,                 0.3865,                 0.2793,                0.95127,                0.79731,                 0.7575,                 0.8016,                0.70642,                0.51057,                0.60905,                 1.1531,               0.000406,               0.000406,               0.000406
                     17,                0.36995,                0.26206,                0.95237,                0.84738,                0.74823,                0.82929,                0.73311,                0.49512,                0.59055,                 1.1292,              0.0003664,              0.0003664,              0.0003664
                     18,                0.35764,                0.25642,                  0.937,                0.86331,                0.73617,                0.82788,                0.73808,                0.48297,                 0.5691,                 1.1368,              0.0003268,              0.0003268,              0.0003268
                     19,                 0.3468,                0.24322,                0.93134,                0.83793,                0.77103,                0.83598,                0.74953,                0.47397,                0.55205,                 1.1238,              0.0002872,              0.0002872,              0.0002872
                     20,                0.33629,                0.22342,                0.92318,                0.82483,                0.79128,                0.84104,                  0.748,                0.48162,                0.55108,                 1.1368,              0.0002476,              0.0002476,              0.0002476
                     21,                0.32885,                0.22045,                0.92017,                0.84392,                0.80492,                   0.85,                0.75998,                0.47112,                0.53444,                 1.1273,               0.000208,               0.000208,               0.000208
                     22,                0.32018,                0.21118,                0.91707,                0.85481,                0.78795,                0.84636,                0.75552,                0.48574,                0.54816,                 1.1376,              0.0001684,              0.0001684,              0.0001684
                     23,                0.30714,                0.19846,                0.91154,                0.87938,                0.78868,                 0.8547,                0.75745,                0.48224,                0.54448,                 1.1381,              0.0001288,              0.0001288,              0.0001288
                     24,                0.30701,                0.19671,                0.91203,                0.85572,                0.79086,                0.85799,                0.76348,                 0.4744,                0.53665,                 1.1434,               8.92e-05,               8.92e-05,               8.92e-05
                     25,                0.30018,                0.19131,                 0.9033,                0.86259,                0.78423,                0.85454,                0.76575,                 0.4624,                0.52929,                 1.1313,               4.96e-05,               4.96e-05,               4.96e-05
